"Statistic","Day","Sex","UNIT","VALUE"
"RIP.ie death notices","2021 March 14","Both sexes","Number","88"
"RIP.ie death notices","2021 March 15","Both sexes","Number","68"
"RIP.ie death notices","2021 March 16","Both sexes","Number","96"
"RIP.ie death notices","2021 March 17","Both sexes","Number","83"
"RIP.ie death notices","2021 March 18","Both sexes","Number","93"
"RIP.ie death notices","2021 March 19","Both sexes","Number","81"
"RIP.ie death notices","2021 March 20","Both sexes","Number","79"
"RIP.ie death notices","2021 March 21","Both sexes","Number","83"
"RIP.ie death notices","2021 March 22","Both sexes","Number","77"
"RIP.ie death notices","2021 March 23","Both sexes","Number","89"
"RIP.ie death notices","2021 March 24","Both sexes","Number","79"
"RIP.ie death notices","2021 March 25","Both sexes","Number","110"
"RIP.ie death notices","2021 March 26","Both sexes","Number","90"
"RIP.ie death notices","2021 March 27","Both sexes","Number","79"
"RIP.ie death notices","2021 March 28","Both sexes","Number","73"
"RIP.ie death notices","2021 March 29","Both sexes","Number","84"
"RIP.ie death notices","2021 March 30","Both sexes","Number","100"
"RIP.ie death notices","2021 March 31","Both sexes","Number","98"
"RIP.ie death notices","2021 April 01","Both sexes","Number","86"
"RIP.ie death notices","2021 April 02","Both sexes","Number","93"
"RIP.ie death notices","2021 April 03","Both sexes","Number","73"
